name_distinct,ingredients
Apoyo - 70.0%,Azúcar
Masaya - 70.0%,Grano de cacao
Masaya - 70.0%,Azúcar
Mombacho - 70.0%,Grano de cacao
Mombacho - 70.0%,Azúcar
Cocibolca - 70.0%,Grano de cacao
Cocibolca - 70.0%,Azúcar
Congo - 72.0%,Grano de cacao
Congo - 72.0%,Azúcar
Congo - 72.0%,Manteca de cacao
Brazil Rio Doce - 72.0%,Grano de cacao
Brazil Rio Doce - 72.0%,Azúcar
Brazil Rio Doce - 72.0%,Manteca de cacao
"Ocumare, Venezuela - 75.0%",Grano de cacao
"Ocumare, Venezuela - 75.0%",Azúcar
"Ocumare, Venezuela - 75.0%",Manteca de cacao
Java - 72.0%,Grano de cacao
Java - 72.0%,Azúcar
Java - 72.0%,Manteca de cacao
Madagascar - 80.0%,Grano de cacao
Madagascar - 80.0%,Azúcar
Madagascar - 80.0%,Manteca de cacao
Peru - 75.0%,Grano de cacao
Peru - 75.0%,Azúcar
Peru - 75.0%,Manteca de cacao
Dominican Republic - 72.0%,Grano de cacao
Dominican Republic - 72.0%,Azúcar
Dominican Republic - 72.0%,Manteca de cacao
Costa Rica - 72.0%,Grano de cacao
Costa Rica - 72.0%,Azúcar
Costa Rica - 72.0%,Manteca de cacao
Ba Ria Vung Tau Province - 72.0%,Grano de cacao
Ba Ria Vung Tau Province - 72.0%,Azúcar
Ba Ria Vung Tau Province - 72.0%,Manteca de cacao
Bali - 72.0%,Grano de cacao
Bali - 72.0%,Azúcar
Bali - 72.0%,Manteca de cacao
Jamaica - 72.0%,Grano de cacao
Jamaica - 72.0%,Azúcar
Jamaica - 72.0%,Manteca de cacao
Panama - 72.0%,Grano de cacao
Panama - 72.0%,Azúcar
Panama - 72.0%,Manteca de cacao
Haiti - 72.0%,Grano de cacao
Haiti - 72.0%,Azúcar
Haiti - 72.0%,Manteca de cacao
"Colombia, Casa Luker - 72.0%",Grano de cacao
"Colombia, Casa Luker - 72.0%",Azúcar
"Colombia, Casa Luker - 72.0%",Manteca de cacao
"Trinidad, Heritage, Limited ed. - 72.0%",Grano de cacao
"Trinidad, Heritage, Limited ed. - 72.0%",Azúcar
"Trinidad, Heritage, Limited ed. - 72.0%",Manteca de cacao
"Orinoqua Region, Arauca - 72.0%",Grano de cacao
"Orinoqua Region, Arauca - 72.0%",Azúcar
"Orinoqua Region, Arauca - 72.0%",Manteca de cacao
"Orinoqua Region, Arauca - 72.0%",Lecitina
"Idukki Kerala, lot IN728221 - 72.0%",Grano de cacao
"Idukki Kerala, lot IN728221 - 72.0%",Azúcar
"Idukki Kerala, lot IN728221 - 72.0%",Manteca de cacao
"Idukki Kerala, lot IN728221 - 72.0%",Lecitina
"Bejofo E., Akesson, lot MA72820 - 72.0%",Grano de cacao
"Bejofo E., Akesson, lot MA72820 - 72.0%",Azúcar
"Bejofo E., Akesson, lot MA72820 - 72.0%",Manteca de cacao
